Date,Short Volume,Total Volume
2014-09-15,2713600.0,5327114.0
2014-09-16,3772883.0,6944926.0
2014-09-17,3051028.0,5227711.0
2014-09-18,2198540.0,3477579.0
2014-09-19,2657328.0,4469579.0
2014-09-22,3048529.0,5653075.0
2014-09-23,2707079.0,5560453.0
2014-09-24,3527373.0,6557704.0
2014-09-25,7269509.0,11154393.0
2014-09-26,4191589.0,6730868.0
2014-09-29,2904983.0,4513121.0
2014-09-30,3210725.0,5236654.0
2014-10-01,3202546.0,5252628.0
2014-10-02,3636283.0,5874703.0
2014-10-03,2062560.0,3898046.0
2014-10-06,2548526.0,4542368.0
2014-10-07,2155230.0,3758188.0
2014-10-08,3965881.0,6890075.0
2014-10-09,5166345.0,8715105.0
2014-10-10,5206445.0,8484755.0
2014-10-13,3759998.0,6149503.0
2014-10-14,4838952.0,7725515.0
2014-10-15,6063086.0,10161207.0
2014-10-16,5820259.0,8967470.0
2014-10-17,4043039.0,6434531.0
2014-10-20,2845830.0,5906293.0
2014-10-21,4873337.0,8302068.0
2014-10-22,3230425.0,6750904.0
2014-10-23,2531049.0,5777117.0
2014-10-24,2129720.0,4548774.0
2014-10-27,1076552.0,2602456.0
2014-10-28,2032502.0,4363043.0
2014-10-29,2181823.0,4074831.0
2014-10-30,1605891.0,4079966.0
2014-10-31,2074840.0,4160455.0
2014-11-03,1691128.0,4798604.0
2014-11-04,1770954.0,3543076.0
2014-11-05,2106884.0,4071593.0
2014-11-06,1570674.0,3703573.0
2014-11-07,1431929.0,3269360.0
2014-11-10,896982.0,2600432.0
2014-11-11,1638654.0,3210935.0
2014-11-12,1969485.0,4058659.0
2014-11-13,2653938.0,5663204.0
2014-11-14,1875116.0,3698946.0
2014-11-17,2004156.0,4584323.0
2014-11-18,1616222.0,3411152.0
2014-11-19,2395533.0,4210502.0
2014-11-20,1790418.0,3444032.0
2014-11-21,2333790.0,4486173.0
2014-11-24,1715439.0,3477397.0
2014-11-25,3282330.0,5891453.0
2014-11-26,2167212.0,3616013.0
2014-11-28,1675066.0,2586924.0
2014-12-01,3135178.0,7085033.0
2014-12-02,2803929.0,5212956.0
2014-12-03,1856152.0,3258995.0
2014-12-04,1217913.0,2625605.0
2014-12-05,1827970.0,3421337.0
2014-12-08,2292521.0,4673389.0
2014-12-09,2052996.0,4824539.0
2014-12-10,2182179.0,3657339.0
2014-12-11,2100064.0,3757099.0
2014-12-12,2536762.0,4031029.0
2014-12-15,2497122.0,4932052.0
2014-12-16,1735294.0,4631192.0
2014-12-17,2566153.0,4644848.0
2014-12-18,1675617.0,4743107.0
2014-12-19,2259164.0,4711641.0
2014-12-22,1057590.0,3023803.0
2014-12-23,879595.0,2560297.0
2014-12-24,313383.0,827733.0
2014-12-26,1027625.0,2610954.0
2014-12-29,1005883.0,2479564.0
2014-12-30,1083918.0,2222398.0
2014-12-31,1590445.0,3063811.0
2015-01-02,2074150.0,4422611.0
2015-01-05,2674149.0,4544357.0
2015-01-06,3274559.0,6390198.0
2015-01-07,2075423.0,3543809.0
2015-01-08,2034179.0,4687406.0
2015-01-09,2179934.0,4544378.0
2015-01-12,2614937.0,4143524.0
2015-01-13,3528076.0,6763125.0
2015-01-14,2732643.0,4227437.0
2015-01-15,3544299.0,5587147.0
2015-01-16,3361279.0,6257562.0
2015-01-20,2301005.0,4233110.0
2015-01-21,2504870.0,5132258.0
2015-01-22,2234417.0,4894261.0
2015-01-23,1737577.0,3895820.0
2015-01-26,2124689.0,4377354.0
2015-01-27,3819361.0,6834000.0
2015-01-28,6050976.0,13521935.0
2015-01-29,5128470.0,9340678.0
2015-01-30,5372328.0,9530181.0
2015-02-02,3777504.0,6371624.0
2015-02-03,2591081.0,5926984.0
2015-02-04,3322236.0,6749104.0
2015-02-05,2628182.0,4904764.0
2015-02-06,2083219.0,4615178.0
2015-02-09,2317976.0,5174046.0
2015-02-10,2624618.0,6428936.0
2015-02-11,4511527.0,7562794.0
2015-02-12,4833371.0,7671973.0
2015-02-13,3722735.0,6006091.0
2015-02-17,3298546.0,5380119.0
2015-02-18,3269669.0,5047310.0
2015-02-19,2396454.0,3779878.0
2015-02-20,3616805.0,5479806.0
2015-02-23,3190945.0,6450055.0
2015-02-24,3374368.0,7795229.0
2015-02-25,3881562.0,8257417.0
2015-02-26,4015726.0,8958355.0
2015-02-27,2735878.0,6092779.0
2015-03-02,2090720.0,4286401.0
2015-03-03,1941897.0,3807121.0
2015-03-04,1468855.0,3130604.0
2015-03-05,2929338.0,5867528.0
2015-03-06,3754357.0,7605869.0
2015-03-09,5743838.0,10196999.0
2015-03-10,3930898.0,8066494.0
2015-03-11,3597754.0,8022648.0
2015-03-12,2158814.0,4748921.0
2015-03-13,2821059.0,5213589.0
2015-03-16,1323218.0,3144284.0
2015-03-17,2127888.0,4114535.0
2015-03-18,3148538.0,5439417.0
2015-03-19,2135678.0,3617707.0
2015-03-20,2005962.0,4158271.0
2015-03-23,1192202.0,2696331.0
2015-03-24,1228268.0,2916898.0
2015-03-25,2369611.0,4538431.0
2015-03-26,2406541.0,4565038.0
2015-03-27,1917762.0,3846923.0
2015-03-30,1787879.0,3351404.0
2015-03-31,1534713.0,2926936.0
2015-04-01,1867109.0,3215262.0
2015-04-02,1268518.0,2484899.0
2015-04-06,1407989.0,2955923.0
2015-04-07,1377954.0,2833380.0
2015-04-08,1459738.0,2839416.0
2015-04-09,1204659.0,2499235.0
2015-04-10,1604244.0,3270606.0
2015-04-13,1526927.0,2685906.0
2015-04-14,1224765.0,2027078.0
2015-04-15,1391731.0,2232204.0
2015-04-16,1346052.0,2385816.0
2015-04-17,2490714.0,3946238.0
2015-04-20,2169770.0,4246197.0
2015-04-21,1234064.0,2845184.0
2015-04-22,1654861.0,3203154.0
2015-04-23,2069090.0,4005210.0
2015-04-24,1947734.0,3602960.0
2015-04-27,2404254.0,5739525.0
2015-04-28,4832831.0,10211007.0
2015-04-29,2528770.0,5207503.0
2015-04-30,3590416.0,7000929.0
2015-05-01,2114113.0,4394026.0
2015-05-04,1396361.0,3063108.0
2015-05-05,1944651.0,3721276.0
2015-05-06,3044247.0,5926368.0
2015-05-07,1661909.0,3293702.0
2015-05-08,1478002.0,3618450.0
2015-05-11,1446610.0,2930988.0
2015-05-12,1503758.0,3029565.0
2015-05-13,1520413.0,2737974.0
2015-05-14,1674045.0,3104729.0
2015-05-15,1469204.0,2842554.0
2015-05-18,1542086.0,3014203.0
2015-05-19,1620608.0,2986187.0
2015-05-20,1340178.0,2253554.0
2015-05-21,1365230.0,2707785.0
2015-05-22,1374523.0,2577559.0
2015-05-26,2323120.0,4692795.0
2015-05-27,1567062.0,3111123.0
2015-05-28,1199949.0,2249581.0
2015-05-29,1567946.0,2782414.0
2015-06-01,1274414.0,2471213.0
2015-06-02,1035558.0,1897727.0
2015-06-03,1235759.0,2201122.0
2015-06-04,1820545.0,3109822.0
2015-06-05,1539803.0,2775416.0
2015-06-08,1896288.0,3408363.0
2015-06-09,2248637.0,4022317.0
2015-06-10,1343299.0,2693718.0
2015-06-11,1373430.0,2418146.0
2015-06-12,1490442.0,2382310.0
2015-06-15,1668637.0,2779464.0
2015-06-16,1140066.0,2034427.0
2015-06-17,1575779.0,2581768.0
2015-06-18,1253397.0,2477645.0
2015-06-19,1383946.0,2613311.0
2015-06-22,876878.0,1971359.0
2015-06-23,1118574.0,2215724.0
2015-06-24,1497934.0,3861176.0
2015-06-25,1061526.0,2179084.0
2015-06-26,1242481.0,2470106.0
2015-06-29,1935145.0,3581114.0
2015-06-30,1633278.0,2900331.0
2015-07-01,1654456.0,2482280.0
2015-07-02,1314332.0,1877397.0
2015-07-06,1609316.0,2483459.0
2015-07-07,2308563.0,3926940.0
2015-07-08,3187368.0,5771787.0
2015-07-09,2280634.0,5688983.0
2015-07-10,2151962.0,4933203.0
2015-07-13,1309829.0,2391317.0
2015-07-14,1442683.0,2438146.0
2015-07-15,1329210.0,2193132.0
2015-07-16,1532708.0,2582790.0
2015-07-17,1612280.0,2854022.0
2015-07-20,1709213.0,3442902.0
2015-07-21,1567235.0,3709213.0
2015-07-22,3301337.0,7669340.0
2015-07-23,1589774.0,3415739.0
2015-07-24,1641358.0,3299200.0
2015-07-27,1816228.0,3229016.0
2015-07-28,1657134.0,3012687.0
2015-07-29,1162921.0,2430536.0
2015-07-30,1759265.0,3094512.0
2015-07-31,1452496.0,2999092.0
2015-08-03,2478742.0,5294655.0
2015-08-04,3432862.0,8995931.0
2015-08-05,3280855.0,7294679.0
2015-08-06,1651992.0,3565744.0
2015-08-07,1732580.0,3528072.0
2015-08-10,1354430.0,3113617.0
2015-08-11,3808994.0,7830939.0
2015-08-12,3664852.0,7737975.0
2015-08-13,2199600.0,4022261.0
2015-08-14,1521479.0,3022270.0
2015-08-17,2421884.0,3719642.0
2015-08-18,1423818.0,2292054.0
2015-08-19,2646838.0,4194286.0
2015-08-20,3394660.0,5224546.0
2015-08-21,6229203.0,11052502.0
2015-08-24,3543602.0,7647633.0
2015-08-25,3272642.0,6533675.0
2015-08-26,5245730.0,7647310.0
2015-08-27,4521332.0,6347905.0
2015-08-28,2984324.0,4071637.0
2015-08-31,2984284.0,4054340.0
2015-09-01,4334707.0,6033021.0
2015-09-02,3017971.0,4404664.0
2015-09-03,2328008.0,3253789.0
2015-09-04,2605343.0,3516759.0
2015-09-08,2522096.0,3739711.0
2015-09-09,3727014.0,5323512.0
2015-09-10,2763761.0,4483144.0
2015-09-11,2757169.0,3973264.0
2015-09-14,2731562.0,4047795.0
2015-09-15,1833268.0,3041891.0
2015-09-16,1416983.0,2257405.0
2015-09-17,2547894.0,3974778.0
2015-09-18,2677752.0,4191240.0
2015-09-21,2106635.0,3578182.0
2015-09-22,2679859.0,3756548.0
2015-09-23,2041917.0,2832355.0
2015-09-24,2497338.0,3863360.0
2015-09-25,2467606.0,4064788.0
2015-09-28,2659307.0,4516610.0
2015-09-29,3977070.0,5978036.0
2015-09-30,3451258.0,5285435.0
2015-10-01,2924751.0,4342084.0
2015-10-02,2810469.0,4522000.0
2015-10-05,2386458.0,3687518.0
2015-10-06,2442708.0,3832230.0
2015-10-07,1930314.0,3366970.0
2015-10-08,2447676.0,4907771.0
2015-10-09,1705439.0,3455461.0
2015-10-12,1180666.0,2043341.0
2015-10-13,1361837.0,2240622.0
2015-10-14,1708719.0,3388451.0
2015-10-15,1592553.0,2719686.0
2015-10-16,1540920.0,2655626.0
2015-10-19,1137063.0,2188235.0
2015-10-20,1575918.0,3321537.0
2015-10-21,1508156.0,3104755.0
2015-10-22,1982934.0,3526659.0
2015-10-23,2145024.0,3685165.0
2015-10-26,1862484.0,3686475.0
2015-10-27,2005025.0,3823018.0
2015-10-28,2846265.0,5271816.0
2015-10-29,1712146.0,3628008.0
2015-10-30,1709952.0,3585669.0
2015-11-02,1064966.0,1899255.0
2015-11-03,1242696.0,2456731.0
2015-11-04,1456966.0,2642892.0
2015-11-05,1428408.0,2865357.0
2015-11-06,1233103.0,2598371.0
2015-11-09,1266384.0,2432103.0
2015-11-10,1778882.0,4085997.0
2015-11-11,1536654.0,3430512.0
2015-11-12,892493.0,2242624.0
2015-11-13,1733131.0,3557671.0
2015-11-16,1235132.0,2663118.0
2015-11-17,1022087.0,1998900.0
2015-11-18,1408509.0,3418394.0
2015-11-19,1231339.0,2562002.0
2015-11-20,1098621.0,2119728.0
2015-11-23,1097479.0,1980199.0
2015-11-24,1452240.0,3010716.0
2015-11-25,766530.0,1457235.0
2015-11-27,521514.0,859197.0
2015-11-30,1148520.0,2480402.0
2015-12-01,1197321.0,2283598.0
2015-12-02,1190126.0,2236127.0
2015-12-03,1619263.0,3018488.0
2015-12-04,1957253.0,4415971.0
2015-12-07,1497059.0,2607949.0
2015-12-08,1648867.0,2687760.0
2015-12-09,2449494.0,3908887.0
2015-12-10,1063586.0,2219844.0
2015-12-11,2748244.0,4152976.0
