Date,Short Volume,Total Volume
2014-09-15,111410.0,225826.0
2014-09-16,81378.0,134095.0
2014-09-17,83426.0,157732.0
2014-09-18,59772.0,105621.0
2014-09-19,122598.0,203397.0
2014-09-22,84142.0,126519.0
2014-09-23,60316.0,101957.0
2014-09-24,68701.0,113146.0
2014-09-25,77391.0,122150.0
2014-09-26,99343.0,158110.0
2014-09-29,51061.0,75789.0
2014-09-30,53249.0,96686.0
2014-10-01,89532.0,123006.0
2014-10-02,80610.0,126451.0
2014-10-03,98238.0,143102.0
2014-10-06,60968.0,93660.0
2014-10-07,61149.0,80110.0
2014-10-08,106833.0,174375.0
2014-10-09,85969.0,132901.0
2014-10-10,106911.0,166516.0
2014-10-13,136226.0,191637.0
2014-10-14,78480.0,130584.0
2014-10-15,124667.0,250569.0
2014-10-16,105029.0,164078.0
2014-10-17,114633.0,182792.0
2014-10-20,76673.0,137742.0
2014-10-21,72015.0,117469.0
2014-10-22,55846.0,103487.0
2014-10-23,107099.0,229524.0
2014-10-24,323251.0,624314.0
2014-10-27,98445.0,161320.0
2014-10-28,108554.0,193993.0
2014-10-29,108509.0,198438.0
2014-10-30,87285.0,147419.0
2014-10-31,114698.0,187089.0
2014-11-03,53801.0,110629.0
2014-11-04,97589.0,147521.0
2014-11-05,98432.0,190982.0
2014-11-06,77286.0,181020.0
2014-11-07,59342.0,125134.0
2014-11-10,75141.0,132112.0
2014-11-11,84926.0,149394.0
2014-11-12,60906.0,104550.0
2014-11-13,90418.0,132483.0
2014-11-14,277533.0,405390.0
2014-11-17,93300.0,217777.0
2014-11-18,79272.0,125503.0
2014-11-19,67660.0,101388.0
2014-11-20,62503.0,105956.0
2014-11-21,88352.0,152050.0
2014-11-24,52387.0,94236.0
2014-11-25,81582.0,115489.0
2014-11-26,41370.0,60093.0
2014-11-28,79815.0,115814.0
2014-12-01,134968.0,239309.0
2014-12-02,74877.0,119766.0
2014-12-03,124321.0,239625.0
2014-12-04,70765.0,137432.0
2014-12-05,72743.0,130430.0
2014-12-08,69528.0,154213.0
2014-12-09,55165.0,160317.0
2014-12-10,62455.0,114768.0
2014-12-11,79321.0,170131.0
2014-12-12,85845.0,137737.0
2014-12-15,101595.0,166227.0
2014-12-16,98570.0,233324.0
2014-12-17,88005.0,177099.0
2014-12-18,88132.0,396535.0
2014-12-19,155976.0,295071.0
2014-12-22,45889.0,136230.0
2014-12-23,50309.0,113565.0
2014-12-24,16106.0,44110.0
2014-12-26,62156.0,130822.0
2014-12-29,53618.0,149135.0
2014-12-30,40706.0,80746.0
2014-12-31,40714.0,76116.0
2015-01-02,57249.0,162232.0
2015-01-05,79759.0,121849.0
2015-01-06,93023.0,141199.0
2015-01-07,87157.0,130815.0
2015-01-08,43525.0,115775.0
2015-01-09,60073.0,128495.0
2015-01-12,85376.0,157599.0
2015-01-13,98088.0,233786.0
2015-01-14,162141.0,265637.0
2015-01-15,123580.0,182760.0
2015-01-16,104638.0,222308.0
2015-01-20,72890.0,129870.0
2015-01-21,312808.0,523017.0
2015-01-22,217857.0,307360.0
2015-01-23,118323.0,206229.0
2015-01-26,92158.0,162232.0
2015-01-27,70036.0,107891.0
2015-01-28,93433.0,132438.0
2015-01-29,218912.0,328965.0
2015-01-30,705558.0,1010879.0
2015-02-02,250063.0,398730.0
2015-02-03,156216.0,283779.0
2015-02-04,74861.0,147507.0
2015-02-05,164022.0,284567.0
2015-02-06,119110.0,189372.0
2015-02-09,65004.0,100213.0
2015-02-10,56072.0,94095.0
2015-02-11,53490.0,94030.0
2015-02-12,63053.0,108001.0
2015-02-13,103450.0,181349.0
2015-02-17,63540.0,157988.0
2015-02-18,67269.0,132089.0
2015-02-19,81817.0,152721.0
2015-02-20,99392.0,168573.0
2015-02-23,57857.0,112866.0
2015-02-24,46216.0,107278.0
2015-02-25,88673.0,162416.0
2015-02-26,54330.0,111399.0
2015-02-27,46780.0,108186.0
2015-03-02,44925.0,78448.0
2015-03-03,42609.0,69347.0
2015-03-04,41652.0,71682.0
2015-03-05,43567.0,86093.0
2015-03-06,51278.0,90474.0
2015-03-09,42434.0,77732.0
2015-03-10,63297.0,126547.0
2015-03-11,39577.0,99941.0
2015-03-12,54233.0,101552.0
2015-03-13,63880.0,135025.0
2015-03-16,35367.0,65536.0
2015-03-17,36253.0,62833.0
2015-03-18,65996.0,97691.0
2015-03-19,47016.0,70835.0
2015-03-20,57938.0,102025.0
2015-03-23,41312.0,67097.0
2015-03-24,36573.0,72434.0
2015-03-25,91628.0,154110.0
2015-03-26,79265.0,129249.0
2015-03-27,61742.0,83626.0
2015-03-30,42288.0,73079.0
2015-03-31,47990.0,72044.0
2015-04-01,59705.0,98269.0
2015-04-02,40623.0,78122.0
2015-04-06,73279.0,108037.0
2015-04-07,38132.0,60039.0
2015-04-08,64301.0,102028.0
2015-04-09,50612.0,88611.0
2015-04-10,66976.0,105243.0
2015-04-13,37744.0,58848.0
2015-04-14,49359.0,80828.0
2015-04-15,33629.0,63337.0
2015-04-16,55065.0,94573.0
2015-04-17,63215.0,124722.0
2015-04-20,147064.0,224423.0
2015-04-21,96473.0,166067.0
2015-04-22,42309.0,100558.0
2015-04-23,89092.0,222477.0
2015-04-24,306023.0,572099.0
2015-04-27,78018.0,139682.0
2015-04-28,57363.0,129571.0
2015-04-29,49839.0,105766.0
2015-04-30,55993.0,133033.0
2015-05-01,56530.0,106209.0
2015-05-04,37268.0,70312.0
2015-05-05,61256.0,116219.0
2015-05-06,64096.0,123753.0
2015-05-07,68174.0,117172.0
2015-05-08,45329.0,83641.0
2015-05-11,50149.0,91208.0
2015-05-12,43506.0,68387.0
2015-05-13,44083.0,89491.0
2015-05-14,36915.0,73616.0
2015-05-15,57139.0,134521.0
2015-05-18,36836.0,93982.0
2015-05-19,44985.0,93436.0
2015-05-20,39224.0,79232.0
2015-05-21,68800.0,146642.0
2015-05-22,32344.0,70071.0
2015-05-26,34481.0,67654.0
2015-05-27,41771.0,81578.0
2015-05-28,34460.0,74525.0
2015-05-29,38826.0,99253.0
2015-06-01,36971.0,73784.0
2015-06-02,33177.0,62417.0
2015-06-03,64667.0,100683.0
2015-06-04,57352.0,123584.0
2015-06-05,32300.0,54704.0
2015-06-08,36444.0,71323.0
2015-06-09,42364.0,86920.0
2015-06-10,30282.0,64316.0
2015-06-11,50884.0,90012.0
2015-06-12,44821.0,76434.0
2015-06-15,36088.0,84552.0
2015-06-16,25438.0,49241.0
2015-06-17,47687.0,86105.0
2015-06-18,66882.0,126313.0
2015-06-19,63528.0,116880.0
2015-06-22,22561.0,42016.0
2015-06-23,77075.0,114030.0
2015-06-24,31477.0,65444.0
2015-06-25,43360.0,83742.0
2015-06-26,27483.0,59599.0
2015-06-29,56816.0,91835.0
2015-06-30,56900.0,92527.0
2015-07-01,34602.0,56211.0
2015-07-02,27300.0,45214.0
2015-07-06,55666.0,86333.0
2015-07-07,45103.0,76589.0
2015-07-08,56328.0,89213.0
2015-07-09,61308.0,115538.0
2015-07-10,36365.0,76228.0
2015-07-13,72848.0,134912.0
2015-07-14,80622.0,144245.0
2015-07-15,56481.0,114260.0
2015-07-16,101642.0,165227.0
2015-07-17,91659.0,160383.0
2015-07-20,72111.0,159639.0
2015-07-21,58850.0,119162.0
2015-07-22,49287.0,92862.0
2015-07-23,113561.0,259537.0
2015-07-24,373559.0,740284.0
2015-07-27,100031.0,194125.0
2015-07-28,66993.0,169413.0
2015-07-29,50265.0,120484.0
2015-07-30,76080.0,146576.0
2015-07-31,54053.0,113356.0
2015-08-03,78671.0,130940.0
2015-08-04,86833.0,141224.0
2015-08-05,50613.0,116409.0
2015-08-06,68847.0,156246.0
2015-08-07,84249.0,153048.0
2015-08-10,53457.0,81731.0
2015-08-11,60065.0,99789.0
2015-08-12,84937.0,137028.0
2015-08-13,68609.0,119595.0
2015-08-14,52706.0,86679.0
2015-08-17,49651.0,119720.0
2015-08-18,42158.0,71442.0
2015-08-19,58196.0,94350.0
2015-08-20,130529.0,197882.0
2015-08-21,205728.0,321267.0
2015-08-24,281500.0,410873.0
2015-08-25,160582.0,275224.0
2015-08-26,144954.0,233536.0
2015-08-27,118265.0,215190.0
2015-08-28,62177.0,90779.0
2015-08-31,70313.0,118363.0
2015-09-01,114350.0,145701.0
2015-09-02,98579.0,141943.0
2015-09-03,77645.0,128969.0
2015-09-04,60320.0,89812.0
2015-09-08,73558.0,129712.0
2015-09-09,105812.0,147585.0
2015-09-10,60173.0,89516.0
2015-09-11,65082.0,90427.0
2015-09-14,93344.0,162267.0
2015-09-15,49730.0,122936.0
2015-09-16,44093.0,76150.0
2015-09-17,92819.0,166325.0
2015-09-18,139849.0,193918.0
2015-09-21,60153.0,102874.0
2015-09-22,92754.0,168146.0
2015-09-23,52755.0,84463.0
2015-09-24,81623.0,142509.0
2015-09-25,78778.0,143609.0
2015-09-28,91030.0,179244.0
2015-09-29,84424.0,142201.0
2015-09-30,100573.0,161498.0
2015-10-01,108861.0,177316.0
2015-10-02,102538.0,166756.0
2015-10-05,78837.0,130478.0
2015-10-06,72973.0,143215.0
2015-10-07,90248.0,149771.0
2015-10-08,109697.0,198809.0
2015-10-09,76260.0,136671.0
2015-10-12,46114.0,89406.0
2015-10-13,54492.0,95922.0
2015-10-14,81573.0,153098.0
2015-10-15,118884.0,225055.0
2015-10-16,75753.0,137082.0
2015-10-19,65480.0,122598.0
2015-10-20,81751.0,167121.0
2015-10-21,63296.0,141882.0
2015-10-22,104915.0,204913.0
2015-10-23,268228.0,386757.0
2015-10-26,110399.0,166192.0
2015-10-27,79074.0,117361.0
2015-10-28,95719.0,150438.0
2015-10-29,84881.0,118661.0
2015-10-30,102756.0,137879.0
2015-11-02,54313.0,88873.0
2015-11-03,55769.0,90160.0
2015-11-04,94011.0,147134.0
2015-11-05,114035.0,164834.0
2015-11-06,154738.0,219369.0
2015-11-09,116854.0,175667.0
2015-11-10,94388.0,139522.0
2015-11-11,163634.0,272450.0
2015-11-12,131764.0,222584.0
2015-11-13,217214.0,433109.0
2015-11-16,154110.0,323489.0
2015-11-17,112993.0,178372.0
2015-11-18,134664.0,215432.0
2015-11-19,130405.0,221176.0
2015-11-20,118388.0,198906.0
2015-11-23,110151.0,206438.0
2015-11-24,102660.0,188601.0
2015-11-25,67305.0,138648.0
2015-11-27,58158.0,103783.0
2015-11-30,132342.0,236081.0
2015-12-01,97449.0,193783.0
2015-12-02,115077.0,206757.0
2015-12-03,148005.0,256353.0
2015-12-04,164318.0,273230.0
2015-12-07,131232.0,223070.0
2015-12-08,113753.0,214701.0
2015-12-09,160822.0,327990.0
2015-12-10,82629.0,182183.0
2015-12-11,164554.0,328976.0
2015-12-14,140153.0,224839.0
2015-12-15,137339.0,267359.0
2015-12-16,116233.0,234433.0
2015-12-17,127223.0,212555.0
2015-12-18,204170.0,312519.0
2015-12-21,100803.0,163220.0
2015-12-22,73891.0,143077.0
2015-12-23,54587.0,107438.0
2015-12-24,24046.0,50446.0
2015-12-28,73227.0,131325.0
2015-12-29,149759.0,255971.0
2015-12-30,80502.0,151267.0
2015-12-31,108612.0,178155.0
2016-01-04,264787.0,405762.0
2016-01-05,143563.0,250920.0
2016-01-06,124369.0,266126.0
2016-01-07,166934.0,308193.0
2016-01-08,145589.0,278015.0
2016-01-11,147429.0,227086.0
2016-01-12,126843.0,211458.0
2016-01-13,251969.0,393303.0
2016-01-14,162087.0,309669.0
2016-01-15,231727.0,394871.0
2016-01-19,126709.0,236411.0
2016-01-20,207297.0,355586.0
2016-01-21,146875.0,238221.0
2016-01-22,180820.0,282332.0
2016-01-25,115229.0,170208.0
2016-01-26,95684.0,144497.0
2016-01-27,145289.0,204177.0
2016-01-28,270485.0,510610.0
2016-01-29,316864.0,547925.0
2016-02-01,143043.0,261127.0
2016-02-02,187250.0,274855.0
2016-02-03,232196.0,426897.0
2016-02-04,149667.0,278785.0
2016-02-05,245448.0,529851.0
2016-02-08,187429.0,368968.0
2016-02-09,200143.0,356916.0
2016-02-10,184666.0,349176.0
2016-02-11,212590.0,325795.0
2016-02-12,205774.0,302779.0
2016-02-16,140193.0,221732.0
2016-02-17,146135.0,233122.0
2016-02-18,161990.0,219832.0
2016-02-19,209244.0,330464.0
2016-02-22,175136.0,261218.0
2016-02-23,135590.0,199768.0
2016-02-24,163615.0,254697.0
2016-02-25,141684.0,190881.0
2016-02-26,181746.0,253159.0
2016-02-29,90752.0,133612.0
2016-03-01,182982.0,268152.0
2016-03-02,163980.0,213399.0
2016-03-03,91626.0,136463.0
2016-03-04,144151.0,204791.0
2016-03-07,151361.0,242952.0
2016-03-08,130617.0,248951.0
2016-03-09,114229.0,230784.0
2016-03-10,129982.0,215906.0
2016-03-11,129828.0,234255.0
2016-03-14,116864.0,183719.0
2016-03-15,109027.0,180982.0
2016-03-16,124122.0,190620.0
2016-03-17,177836.0,284928.0
2016-03-18,190679.0,327217.0
2016-03-21,121521.0,228123.0
2016-03-22,126194.0,197320.0
2016-03-23,144745.0,226366.0
2016-03-24,198876.0,266763.0
2016-03-28,86713.0,141452.0
2016-03-29,117707.0,185826.0
2016-03-30,158122.0,236065.0
