Date,Short Volume,Total Volume
2018-03-27,390.0,1296.0
2018-03-28,200.0,200.0
2018-03-29,200.0,200.0
2018-04-02,2783.0,3683.0
2018-04-03,4123.0,5723.0
2018-04-04,2359.0,3059.0
2018-04-05,1700.0,6939.0
2018-04-06,100.0,1275.0
2018-04-09,1530.0,2730.0
2018-04-10,3625.0,5160.0
2018-04-11,1400.0,3600.0
2018-04-12,3660.0,5265.0
2018-04-13,400.0,400.0
2018-04-16,2400.0,3653.0
2018-04-17,2500.0,3100.0
2018-04-18,3172.0,4739.0
2018-04-19,700.0,1000.0
2018-04-20,5500.0,8500.0
2018-04-23,971.0,2271.0
2018-04-24,600.0,900.0
2018-04-25,1893.0,3193.0
2018-04-26,3832.0,13732.0
2018-04-27,3525.0,5775.0
2018-04-30,1100.0,8734.0
2018-05-01,9000.0,24800.0
2018-05-02,922.0,1736.0
2018-05-03,1144.0,1384.0
2018-05-04,2348.0,3148.0
2018-05-07,1400.0,6171.0
2018-05-08,3600.0,9800.0
2018-05-09,900.0,1911.0
2018-05-10,1100.0,4200.0
2018-05-11,0.0,400.0
2018-05-14,800.0,1000.0
2018-05-15,0.0,604.0
2018-05-16,100.0,793.0
2018-05-17,500.0,3100.0
2018-05-18,200.0,500.0
2018-05-21,2958.0,3358.0
2018-05-22,100.0,680.0
2018-05-23,562.0,762.0
2018-05-24,700.0,700.0
2018-05-25,3800.0,6500.0
2018-05-29,1100.0,1800.0
2018-05-30,1800.0,2500.0
2018-05-31,0.0,100.0
2018-06-01,700.0,5200.0
2018-06-04,300.0,300.0
2018-06-05,3722.0,4622.0
2018-06-06,1212.0,3097.0
2018-06-07,3500.0,4000.0
2018-06-08,12.0,212.0
2018-06-11,170.0,461.0
2018-06-12,1291.0,2007.0
2018-06-13,1271.0,4735.0
2018-06-14,0.0,1204.0
2018-06-15,402.0,824.0
2018-06-18,200.0,999.0
2018-06-19,407.0,541.0
2018-06-20,2376.0,2776.0
2018-06-21,500.0,1000.0
