Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2019-01-11,19.9,20.32,18.9,19.05,19.025,-0.85,78769.0,39.0,50761.0
2019-01-14,19.1,20.4,18.85,19.25,19.225,0.2,75706.0,0.0,35371.0
2019-01-15,19.25,19.35,18.11,18.9,18.825,-0.4,73739.0,225.0,25620.0
2019-01-16,18.8,19.15,18.3,18.85,19.025,0.2,102834.0,0.0,181503.0
2019-01-17,18.9,19.35,18.45,18.6,18.525,-0.5,106208.0,349.0,167333.0
2019-01-18,18.55,18.71,17.9,18.25,18.325,-0.2,103730.0,255.0,158701.0
2019-01-22,18.25,20.3,18.25,20.04,20.175,1.85,163548.0,181.0,150615.0
2019-01-23,20.05,21.15,19.5,19.75,19.725,-0.45,133575.0,197.0,142652.0
2019-01-24,19.85,20.15,19.05,19.25,19.175,-0.55,90769.0,109.0,134929.0
2019-01-25,19.2,19.25,18.2,18.2,18.275,-0.9,92584.0,743.0,134820.0
2019-01-28,18.35,19.92,18.25,19.15,19.125,0.85,110475.0,349.0,130182.0
2019-01-29,19.15,19.55,18.7,18.85,18.925,-0.2,95717.0,0.0,121855.0
2019-01-30,18.85,19.25,17.95,17.95,17.975,-0.95,96992.0,0.0,115646.0
2019-01-31,17.95,18.1,17.0,17.1,17.125,-0.85,100102.0,754.0,113341.0
2019-02-01,17.15,17.5,16.95,17.0,17.025,-0.1,98820.0,5031.0,105768.0
2019-02-04,17.05,17.15,16.45,16.55,16.525,-0.5,72441.0,1443.0,95584.0
2019-02-05,16.6,16.75,15.95,16.55,16.525,0.0,75169.0,762.0,83151.0
2019-02-06,16.5,16.72,16.07,16.35,16.375,-0.15,65964.0,752.0,75633.0
2019-02-07,16.35,18.0,16.33,17.23,17.175,0.8,113788.0,304.0,67888.0
2019-02-08,17.25,17.75,16.57,16.65,16.625,-0.55,87861.0,0.0,56444.0
2019-02-11,16.7,17.0,16.05,16.3,16.225,-0.4,66246.0,105.0,47305.0
2019-02-12,16.35,16.36,15.4,15.74,15.625,-0.6,70980.0,69.0,35657.0
2019-02-13,16.75,16.85,16.45,16.7,16.675,-0.05,80867.0,0.0,164557.0
2019-02-14,16.75,17.35,16.58,17.0,16.925,0.25,118721.0,2184.0,166818.0
2019-02-15,16.95,17.45,16.25,16.35,16.325,-0.6,109228.0,4863.0,169297.0
2019-02-19,16.3,16.75,16.15,16.33,16.325,0.0,78859.0,240.0,170854.0
2019-02-20,16.35,16.56,15.5,15.52,15.575,-0.75,103028.0,1000.0,177078.0
2019-02-21,15.5,16.17,15.4,15.9,15.875,0.3,101307.0,623.0,168888.0
2019-02-22,15.9,16.0,15.14,15.15,15.175,-0.7,76545.0,512.0,162786.0
