Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2018-03-27,7008.81,7255.54,6963.68,10662843338899.0,10055602.0
2018-03-28,6949.23,7036.09,6901.07,10574155492376.0,1567658163.0
2018-03-29,7063.44,7120.46,6935.78,10749465896411.0,171156184.0
2018-04-02,6870.12,7044.71,6805.96,10455515259297.0,47839706.0
2018-04-03,6941.28,6963.71,6835.23,10563822779727.0,880993889.0
2018-04-04,7042.11,7059.29,6811.77,10718036281379.0,1617338445.0
2018-04-05,7076.55,7112.38,7036.62,10770474628262.0,154857558.0
2018-04-06,6915.11,7066.64,6877.76,10520827386580.0,27022115.0
2018-04-09,6950.34,7074.95,6944.96,10574494313424.0,132301576.0
2018-04-10,7094.3,7117.98,7014.88,10793918487757.0,0.0
2018-04-11,7069.03,7128.54,7055.0,10760202507151.0,8973890.0
2018-04-12,7140.25,7166.0,7105.09,10868757039109.0,131809289.0
2018-04-13,7106.65,7183.62,7078.14,10817192791972.0,27521838.0
2018-04-16,7156.28,7178.51,7115.85,10891666733880.0,0.0
2018-04-17,7281.1,7298.59,7206.55,11082173453998.0,2362011.0
2018-04-18,7295.24,7319.58,7259.9,11107724451894.0,4059736.0
2018-04-19,7238.06,7277.45,7215.17,11020907397561.0,84709744.0
2018-04-20,7146.13,7222.99,7123.49,10881182712700.0,14849576.0
2018-04-23,7128.6,7195.72,7094.43,10856104953922.0,4534124.0
2018-04-24,7007.35,7171.67,6961.52,10671269738130.0,114019834.0
2018-04-25,7003.74,7030.74,6926.97,10659752420212.0,10195548.0
2018-04-26,7118.68,7143.94,7055.66,10834723178067.0,29796341.0
2018-04-27,7119.8,7197.15,7083.95,10836448081935.0,545978111.0
2018-04-30,7066.27,7169.8,7065.41,10761023815300.0,245912342.0
2018-05-01,7130.7,7133.27,7036.18,10859279128120.0,29111273.0
2018-05-02,7100.9,7169.46,7094.72,10814552056367.0,40139111.0
2018-05-03,7088.15,7112.59,6991.14,10795330570464.0,96313640.0
2018-05-04,7209.62,7228.26,7057.89,10981091673887.0,2133297895.0
2018-05-07,7265.21,7291.74,7235.76,11064985204870.0,253245064.0
2018-05-08,7266.9,7278.81,7224.7,11067705790575.0,284173181.0
2018-05-09,7339.91,7344.8,7259.05,11184902461789.0,572472823.0
2018-05-10,7404.97,7414.15,7353.63,11285430630142.0,442089946.0
2018-05-11,7402.88,7417.67,7372.26,11282394884437.0,4134016751.0
2018-05-14,7411.32,7458.42,7401.89,11295427930250.0,351099232.0
2018-05-15,7351.63,7363.52,7320.97,11204594371429.0,49546079.0
2018-05-16,7398.3,7413.32,7356.16,11273962995810.0,4468411096.0
2018-05-17,7382.47,7425.39,7350.46,11249876531386.0,1434752005.0
2018-05-18,7354.34,7381.16,7343.97,11208532436856.0,348402601.0
2018-05-21,7394.04,7431.83,7368.21,11269016747063.0,203566625.0
2018-05-22,7378.46,7432.53,7370.33,11245556344770.0,212964025.0
2018-05-23,7425.96,7426.78,7334.62,11318490916365.0,385180788.0
2018-05-24,7424.43,7435.38,7357.5,11315258693311.0,118183803.0
2018-05-25,7433.85,7452.85,7415.58,11331289437412.0,172804457.0
2018-05-29,7396.59,7435.13,7354.29,11274172281326.0,924316801.0
2018-05-30,7462.45,7473.81,7423.67,11364025505100.0,537880699.0
2018-05-31,7442.12,7492.42,7431.41,11332787575040.0,1921308116.0
2018-06-01,7554.33,7557.38,7487.23,11502216245686.0,224564021.0
2018-06-04,7606.46,7607.17,7561.2,11583383936104.0,39992389.0
2018-06-05,7637.86,7644.48,7602.38,11632017959032.0,247744550.0
2018-06-06,7689.24,7691.65,7622.31,11709767235440.0,29013023.0
2018-06-07,7635.07,7697.41,7597.66,11627375653495.0,1632242586.0
2018-06-08,7645.51,7653.58,7595.14,11643880282938.0,82868247.0
2018-06-11,7659.93,7677.29,7642.87,11666239364607.0,101964569.0
2018-06-12,7703.79,7708.25,7669.53,11733376487830.0,29193283.0
2018-06-13,7695.7,7748.96,7686.65,11720183015793.0,99655276.0
2018-06-14,7761.04,7768.6,7723.53,11821152578900.0,1708294368.0
2018-06-15,7746.38,7755.72,7704.34,11798588946129.0,270658752.0
2018-06-18,7747.03,7749.36,7676.83,11749881805873.0,23590196.0
2018-06-19,7725.59,7727.41,7635.73,11717132989669.0,995047260.0
2018-06-20,7781.51,7806.6,7755.48,11801399072996.0,38603675.0
2018-06-21,7712.95,7803.45,7699.2,11699607314114.0,18146211.0
2018-06-22,7692.82,7739.71,7679.12,11671760634076.0,14210752.0
2018-06-25,7532.01,7639.73,7477.73,11426206020493.0,21698115.0
2018-06-26,7561.63,7597.49,7527.0,11471553930748.0,9694570.0
2018-06-27,7445.08,7610.67,7444.17,11301251629580.0,94212261.0
2018-06-28,7503.68,7526.07,7419.56,11391514647138.0,1255036887.0
2018-06-29,7510.3,7573.59,7502.95,11404215445108.0,87436262.0
2018-07-02,7567.69,7568.1,7443.1,11492106109937.0,873169785.0
2018-07-03,7502.67,7594.33,7498.5,11391686843730.0,21263596.0
2018-07-05,7586.43,7589.19,7511.43,11519458449505.0,1764469428.0
2018-07-06,7688.39,7695.81,7588.65,11674201689978.0,39695218.0
2018-07-09,7756.2,7757.28,7702.06,11770829327455.0,139051938.0
2018-07-10,7759.2,7777.48,7731.98,11775454948937.0,12161167.0
2018-07-11,7716.61,7748.16,7696.58,11713211511034.0,6903362.0
2018-07-12,7823.92,7825.67,7746.76,11875986536289.0,134549643.0
2018-07-13,7825.98,7843.52,7803.34,11879018160436.0,7146999.0
2018-07-16,7805.72,7838.82,7791.98,11848593914069.0,8200634.0
2018-07-17,7855.12,7867.15,7749.61,11923562395915.0,5315083.0
2018-07-18,7854.44,7863.77,7822.83,11922946236311.0,12565996.0
2018-07-19,7825.3,7849.85,7811.15,11881342403222.0,26500806.0
2018-07-20,7820.2,7860.25,7815.86,11875341642227.0,6431235.0
2018-07-23,7841.87,7846.76,7776.55,11908711655164.0,2306780.0
2018-07-24,7840.77,7928.79,7814.33,11907040443781.0,122118689.0
2018-07-25,7932.24,7933.31,7838.76,12050687169118.0,11239189.0
2018-07-26,7852.18,7881.3,7834.08,11931410183947.0,34804672.0
2018-07-27,7737.42,7889.75,7698.96,11764687218048.0,349595478.0
2018-07-30,7630.0,7740.26,7604.24,11601604051112.0,698930220.0
2018-07-31,7671.79,7709.49,7614.84,11665459130785.0,494395047.0
2018-08-01,7707.29,7732.68,7670.71,11712860877117.0,57242661.0
2018-08-02,7802.69,7808.85,7659.52,11858428258147.0,114281296.0
2018-08-03,7812.01,7824.06,7783.3,11874568222300.0,109418294.0
2018-08-06,7859.68,7859.68,7801.88,11947054620292.0,1761218709.0
2018-08-07,7883.66,7898.2,7868.65,11985350164819.0,181974435.0
2018-08-08,7888.33,7901.69,7864.46,11995368378911.0,639876004.0
2018-08-09,7891.78,7923.35,7881.06,12000710952353.0,163997572.0
2018-08-10,7839.11,7866.19,7818.37,11920953452442.0,4047169858.0
