Date,Value
2015-03-06,3.375
2015-03-13,3.25
2015-03-20,3.125
2015-03-27,3.125
2015-04-03,3.125
2015-04-10,3.125
2015-04-17,3.125
2015-04-24,3.125
2015-05-01,3.125
2015-05-08,3.25
2015-05-15,3.375
2015-05-22,3.375
2015-05-29,3.375
2015-06-05,3.5
2015-06-12,3.625
2015-06-19,3.5
2015-06-26,3.5
2015-07-03,3.5
2015-07-10,3.375
2015-07-17,3.5
2015-07-24,3.375
2015-07-31,3.375
2015-08-07,3.375
2015-08-14,3.375
2015-08-21,3.5
2015-08-28,3.375
2015-09-04,3.375
2015-09-11,3.375
2015-09-18,3.375
2015-09-25,3.375
2015-10-02,3.25
2015-10-09,3.25
2015-10-16,3.25
2015-10-23,3.25
2015-10-30,3.25
2015-11-06,3.375
2015-11-13,3.375
2015-11-20,3.375
2015-11-27,3.5
2015-12-04,3.375
2015-12-11,3.5
2015-12-18,3.5
2015-12-25,3.5
2016-01-01,3.5
2016-01-08,3.5
2016-01-15,3.375
2016-01-22,3.375
2016-01-29,3.375
2016-02-05,3.125
2016-02-12,3.125
2016-02-19,3.125
2016-02-25,3.125
2016-02-26,3.125
2016-02-27,3.125
2016-02-28,3.125
2016-02-29,3.125
2016-03-01,3.125
2016-03-02,3.25
2016-03-03,3.25
2016-03-04,3.25
2016-03-05,3.25
2016-03-06,3.25
2016-03-07,3.25
2016-03-08,3.25
2016-03-09,3.25
2016-03-10,3.25
2016-03-11,3.25
2016-03-12,3.25
2016-03-13,3.25
2016-03-14,3.25
2016-03-15,3.25
2016-03-16,3.25
2016-03-17,3.125
2016-03-18,3.125
2016-03-19,3.125
2016-03-20,3.125
2016-03-21,3.125
2016-03-22,3.125
2016-03-23,3.25
2016-03-24,3.125
2016-03-25,3.25
2016-03-26,3.25
2016-03-27,3.25
2016-03-28,3.25
2016-03-29,3.25
2016-03-30,3.125
2016-03-31,3.125
2016-04-01,3.125
2016-04-02,3.125
2016-04-03,3.125
2016-04-04,3.125
2016-04-05,3.0
2016-04-06,3.125
2016-04-07,3.0
2016-04-08,3.0
2016-04-09,3.0
2016-04-10,3.0
2016-04-11,3.0
2016-04-12,3.0
2016-04-13,3.0
2016-04-14,3.125
2016-04-15,3.125
2016-04-16,3.125
2016-04-17,3.125
2016-04-18,3.125
2016-04-19,3.0
2016-04-20,3.125
2016-04-21,3.125
2016-04-22,3.125
2016-04-23,3.125
2016-04-24,3.125
2016-04-25,3.125
2016-04-26,3.125
2016-04-27,3.125
2016-04-28,3.125
2016-04-29,3.125
2016-04-30,3.125
2016-05-01,3.125
2016-05-02,3.125
2016-05-03,3.125
2016-05-04,3.0
2016-05-05,3.0
2016-05-06,3.0
2016-05-07,3.0
2016-05-08,3.0
2016-05-09,3.0
2016-05-10,3.0
2016-05-11,3.0
2016-05-12,3.0
2016-05-13,3.0
2016-05-14,3.0
2016-05-15,3.0
2016-05-16,3.0
2016-05-17,3.0
2016-05-18,3.0
2016-05-19,3.125
2016-05-20,3.125
2016-05-21,3.125
2016-05-22,3.125
2016-05-23,3.125
2016-05-24,3.125
2016-05-25,3.125
2016-05-26,3.125
2016-05-27,3.125
2016-05-28,3.125
2016-05-29,3.125
2016-05-30,3.125
2016-05-31,3.125
2016-06-01,3.125
2016-06-02,3.125
2016-06-03,3.0
2016-06-04,3.0
2016-06-05,3.0
2016-06-06,3.0
2016-06-07,3.0
2016-06-08,3.0
2016-06-09,3.0
2016-06-10,3.0
2016-06-11,3.0
2016-06-12,3.0
2016-06-13,3.0
2016-06-14,3.0
2016-06-15,3.0
2016-06-16,3.0
2016-06-17,3.0
2016-06-18,3.0
2016-06-19,3.0
2016-06-20,3.0
2016-06-21,3.0
2016-06-22,3.0
2016-06-23,3.125
2016-06-24,3.0
2016-06-25,3.0
2016-06-26,3.0
2016-06-27,3.0
2016-06-28,3.0
2016-06-29,3.0
2016-06-30,3.0
2016-07-01,3.0
2016-07-02,3.0
2016-07-03,3.0
2016-07-04,3.0
2016-07-05,2.875
2016-07-06,2.875
2016-07-07,2.875
2016-07-08,2.875
2016-07-09,2.875
2016-07-10,2.875
2016-07-11,2.875
2016-07-12,2.875
2016-07-13,2.875
2016-07-14,2.875
2016-07-15,2.875
2016-07-16,2.875
2016-07-17,2.875
2016-07-18,3.0
2016-07-19,3.0
2016-07-20,3.0
2016-07-21,3.0
2016-07-22,3.0
2016-07-23,3.0
2016-07-24,3.0
2016-07-25,3.0
2016-07-26,3.0
2016-07-27,3.0
2016-07-28,3.0
2016-07-29,2.875
2016-07-30,2.875
2016-07-31,2.875
2016-08-01,2.875
2016-08-02,3.0
2016-08-03,2.875
2016-08-04,2.875
2016-08-05,2.875
2016-08-06,2.875
2016-08-07,2.875
2016-08-08,3.0
2016-08-09,3.0
2016-08-10,2.875
2016-08-11,2.875
2016-08-12,2.875
2016-08-13,2.875
2016-08-14,2.875
2016-08-15,2.875
2016-08-16,3.0
2016-08-17,3.0
2016-08-18,3.0
2016-08-19,3.0
2016-08-20,3.0
2016-08-21,3.0
2016-08-22,3.0
2016-08-23,3.0
2016-08-24,3.0
2016-08-25,3.0
2016-08-26,3.0
2016-08-27,3.0
2016-08-28,3.0
2016-08-29,3.0
2016-08-30,3.0
2016-08-31,3.0
2016-09-01,3.0
2016-09-02,3.0
2016-09-03,3.0
2016-09-04,3.0
